X,Y,Z,formation
214040,378350,880,Viersen_Fault
215330,378820,2080,Viersen_Fault
215600,378900,2490,Viersen_Fault
214000,381050,1290,Viersen_Fault
214400,382650,2160,Viersen_Fault
213250,383600,1195,Viersen_Fault
214100,383600,2160,Viersen_Fault
212500,386200,1100,Viersen_Fault
212900,386300,1440,Viersen_Fault
213450,386450,2240,Viersen_Fault
212500,388750,1780,Viersen_Fault
214040,378350,880,Viersen_Div1
215330,378820,2080,Viersen_Div1
215600,378900,2490,Viersen_Div1
214100,381050,1290,Viersen_Div1
214400,382650,2160,Viersen_Div1
213250,383600,1195,Viersen_Div1
214100,383600,2160,Viersen_Div1
213250,389600,1195,Viersen_Div1
214100,389600,2160,Viersen_Div1
217690,381000,2260,Base_TertiaryE
215160,386980,2260,Base_TertiaryE
216120,387280,2260,Base_TertiaryE
212750,389250,1800,Base_TertiaryE
216000,391000,2260,Base_TertiaryE
216620,380810,2260,Base_TertiaryE
213930,386620,1580,Top_DevonianE
217690,381000,1820,Top_DevonianE
215160,386980,1820,Top_DevonianE
216120,387280,1820,Top_DevonianE
212750,389250,1400,Top_DevonianE
216000,391000,1820,Top_DevonianE
216620,380810,1820,Top_DevonianE
216620,380810,1420,Base_DevonianE
217690,381000,1420,Base_DevonianE
213930,386620,1180,Base_DevonianE
215160,386980,1420,Base_DevonianE
216120,387280,1420,Base_DevonianE
212750,389250,1000,Base_DevonianE
216000,391000,1420,Base_DevonianE
218000,378000,-50,BasementE
218000,392000,-50,BasementE
217000,385000,-50,BasementE
214000,378000,-50,BasementE
214000,392000,-50,BasementE
206000,379000,1800,Base_TertiaryW
209000,381000,1800,Base_TertiaryW
212000,383000,1800,Base_TertiaryW
206000,385000,1800,Base_TertiaryW
209000,387000,1800,Base_TertiaryW
211500,388500,1800,Base_TertiaryW
206000,379000,800,Top_DevonianW
209000,381000,800,Top_DevonianW
212000,383000,800,Top_DevonianW
206000,385000,800,Top_DevonianW
209000,387000,800,Top_DevonianW
211500,388500,800,Top_DevonianW
206000,379000,400,Base_DevonianW
209000,381000,400,Base_DevonianW
212000,383000,400,Base_DevonianW
206000,385000,400,Base_DevonianW
209000,387000,400,Base_DevonianW
211500,388500,400,Base_DevonianW
